id	message
REACTIONS_TOO_MANY	Non-premium users, can set up only one reaction per message
REACTION_EMPTY	 reaction  kosong
REACTION_INVALID	Invalid reaction  (hanya emoji yang valid yg di perbolehkan)
REFLECTOR_NOT_AVAILABLE	 call reflector tidak tersedia
REPLY_MARKUP_BUY_EMPTY	Reply markup untuk buy button kosong
REPLY_MARKUP_GAME_EMPTY	  reply markup untuk  game kosong
REPLY_MARKUP_INVALID	  reply markup invalid
REPLY_MARKUP_TOO_LONG	 reply markup terlalu panjang
REPLY_MESSAGE_ID_INVALID	 reply pesan id invalid
REPLY_TO_INVALID	 Spesifik `reply_to` field invalid.
REPLY_TO_USER_INVALID	 replied-to Pengguna invalid.
RESET_REQUEST_MISSING	No password reset is in progress
RESULTS_TOO_MUCH	 result contains terlalu banyak items
RESULT_ID_DUPLICATE	 result contains items with duplicated identifiers
RESULT_ID_EMPTY	Result ID empty
RESULT_ID_INVALID	 given result tidak bisa digunakan mengirim  selection to  bot
RESULT_TYPE_INVALID	 result tipe invalid
REVOTE_NOT_ALLOWED	Kamu tidak bisa change Kamur vote
RIGHTS_NOT_MODIFIED	 new admin rights are equal to  old rights, no change was made
RSA_DECRYPT_FAILED	Internal RSA decryption failed
SAVED_DIALOGS_UNSUPPORTED	Kamu tidak bisa use Method ini
SCHEDULE_BOT_NOT_ALLOWED	Bots are Tidak diperbolehkan untuk menjadwalkan pesan
SCHEDULE_DATE_INVALID	Invalid schedule date 
SCHEDULE_DATE_TOO_LATE	 Kamu mencoba untuk menjadwalkan terlalu jauh dari  masa depan (lebih dari 1 tahun)
SCHEDULE_STATUS_PRIVATE	Kamu tidak bisa menjadwalkan pesan until  person comes online if ir privacy does not show this information
SCHEDULE_TOO_MUCH	Kamu mencoba untuk menjadwalkan terlalu banyak pesan in chat ini
SCORE_INVALID	 Spesifik game score invalid
SEARCH_QUERY_EMPTY	 search query kosong
SEARCH_WITH_LINK_NOT_SUPPORTED	Kamu tidak bisa provide a search query dan invite link at  same time
SECONDS_INVALID	 seconds interval invalid
SEND_AS_PEER_INVALID	Kamu tidak bisa send pesan as  Spesifik peer
SEND_MESSAGE_MEDIA_INVALID	 pesan media invalid
SEND_MESSAGE_TYPE_INVALID	 pesan tipe invalid
SESSION_TOO_FRESH_X	Kamu tidak bisa melakukan aksi ini karena  current session was logged-in recently
SETTINGS_INVALID	Invalid settings were 
SHA256_HASH_INVALID	  SHA256 hash invalid
SHORTNAME_OCCUPY_FAILED	An error occurred when mencoba untuk mendaftar nama-pendek digunakan untuk  sticker pack. Coba nama yang lain
SHORT_NAME_INVALID	 Spesifik short name invalid
SHORT_NAME_OCCUPIED	 Spesifik short name is sudah use
SLOTS_EMPTY	 Spesifik slot list kosong.
SLOWMODE_MULTI_MSGS_DISABLED	Slowmode aktif, Kamu tidak bisa forward multiple pesan to this group
SLUG_INVALID	 Spesifik invoice slug invalid.
SMS_CODE_CREATE_FAILED	An error occurred while creating  SMS code
SRP_ID_INVALID	Invalid SRP ID 
SRP_PASSWORD_CHANGED	 password has changed
START_PARAM_EMPTY	 start parameter kosong
START_PARAM_INVALID	 start parameter invalid
START_PARAM_TOO_LONG	 start parameter terlalu panjang
STICKERPACK_STICKERS_TOO_MUCH	re are terlalu banyak stickers in this stickerpack, Kamu tidak bisa add any more
STICKERSET_INVALID	 requested sticker set invalid
STICKERSET_NOT_MODIFIED	 sticker set is not modified
STICKERS_EMPTY	 sticker  kosong
STICKERS_TOO_MUCH	terlalu banyak stickers in  set
STICKER_DOCUMENT_INVALID	 sticker document invalid
STICKER_EMOJI_INVALID	 sticker emoji invalid
STICKER_FILE_INVALID	 sticker file invalid
STICKER_GIF_DIMENSIONS	 Spesifik video sticker has invalid dimensions
STICKER_ID_INVALID	  sticker id invalid
STICKER_INVALID	  sticker invalid
STICKER_MIME_INVALID	Pastikan to pass a valid image file for  right InputFile parameter
STICKER_PNG_DIMENSIONS	 sticker png dimensions are invalid
STICKER_PNG_NOPNG	Stickers must be png files but   image was bukan png
STICKER_TGS_NODOC	Kamu must send  animated sticker as a document
STICKER_TGS_NOTGS	A tgs sticker file was expected, but something else was 
